bin,customers,mean_predicted_probability,observed_churn_rate,absolute_calibration_error
"(-0.0009752000000000001, 0.00282]",141,0.0010140366917151757,0.0,0.0010140366917151757
"(0.00282, 0.0123]",141,0.007076992610207112,0.014184397163120567,0.007107404552913455
"(0.0123, 0.031]",141,0.020009265172454518,0.0,0.020009265172454518
"(0.031, 0.0725]",141,0.050374381274596466,0.05673758865248227,0.006363207377885802
"(0.0725, 0.146]",141,0.1059292512058963,0.05673758865248227,0.049191662553414034
"(0.146, 0.257]",140,0.20154283111197902,0.2357142857142857,0.034171454602306695
"(0.257, 0.416]",141,0.33225785887856574,0.3404255319148936,0.008167673036327872
"(0.416, 0.574]",141,0.49464521923722526,0.44680851063829785,0.04783670859892741
"(0.574, 0.733]",141,0.6557421290252912,0.6666666666666666,0.010924537641375465
"(0.733, 0.955]",141,0.8145570424194707,0.8368794326241135,0.022322390204642772
