customer_id,customer_status,actual_churn,predicted_churn_probability,high_risk_at_selected_threshold,monthly_charge,cltv
8779-QRDMV,Churned,1,0.6616739144121384,True,39.65,5433
7495-OOKFY,Churned,1,0.7716209025938112,True,80.65,5302
1658-BYGOY,Churned,1,0.19974042891768498,False,95.45,3179
4598-XLKNJ,Churned,1,0.6920773760261686,True,98.5,5337
4846-WHAFZ,Churned,1,0.6048478951438694,True,76.5,2793
4412-YLTKF,Churned,1,0.3455324304017701,True,78.05,4638
0390-DCFDQ,Churned,1,0.8224615976042328,True,70.45,3964
3445-HXXGF,Churned,1,0.05506128791947832,False,45.3,5444
2656-FMOKZ,Churned,1,0.3856246157403308,True,74.45,5717
2070-FNEXE,Churned,1,0.26981309203875253,False,76.45,4419
0094-OIFMO,Churned,1,0.5206036903028648,True,95.0,5980
9947-OTFQU,Churned,1,0.4313058830681326,True,74.4,4616
9514-JDSKI,Churned,1,0.8419987346999939,True,40.2,5828
7273-TEFQD,Churned,1,0.7397618181047884,True,41.15,2314
3606-TWKGI,Churned,1,0.8881397569267653,True,106.9,2494
4385-GZQXV,Churned,1,0.5404722587042141,True,94.45,3810
3488-PGMQJ,Churned,1,0.625909660554322,True,74.5,4345
7534-BFESC,Churned,1,0.5762449683561732,True,76.1,2018
8098-LLAZX,Churned,1,0.8928712748607186,True,95.45,3677
0265-EDXBD,Churned,1,0.6365870641393494,True,74.9,4105
2840-XANRC,Churned,1,0.9366463311313951,True,93.15,2212
5020-ZSTTY,Churned,1,0.040773732559742884,False,82.45,4149
5804-LEPIM,Churned,1,0.7608436865586372,True,70.35,2671
0623-IIHUG,Churned,1,0.54433735418776,True,41.9,4778
9057-MSWCO,Churned,1,0.6362227640373463,True,30.75,2927
4895-TMWIR,Churned,1,0.5426028769195242,True,19.95,5888
0533-BNWKF,Churned,1,0.5146305607222833,True,85.45,5502
0334-GDDSO,Churned,1,0.8009337492790966,True,81.35,2818
5564-NEMQO,Churned,1,0.7587128308355414,True,75.3,4902
6235-VDHOM,Churned,1,0.49831437408249785,True,28.45,4099
5609-CEBID,Churned,1,0.7112198714007353,True,94.1,2666
5956-VKDTT,Churned,1,0.6895355240149309,True,74.35,5273
0257-ZESQC,Churned,1,0.8045420997431312,True,75.2,4517
2865-TCHJW,Churned,1,0.9248878310633328,True,89.2,5808
5192-EBGOV,Churned,1,0.8197468351252345,True,85.7,4880
3419-SNJJD,Churned,1,0.33463435694991955,True,105.25,4196
4554-YGZIH,Churned,1,0.29869804681718204,False,90.05,5059
5099-BAILX,Churned,1,0.7759992487650876,True,110.75,2728
4913-EHYUI,Churned,1,0.5450349303708101,True,104.55,6268
1626-ERCMM,Churned,1,0.3159986370672067,False,94.55,5604
5644-PDMZC,Churned,1,0.7166920618364491,True,89.5,2065
4160-AMJTL,Churned,1,0.20094020292140166,False,19.65,5432
0823-HSCDJ,Churned,1,0.3421980532905574,True,49.15,5597
0067-DKWBL,Churned,1,0.3950622291764558,True,49.25,3475
5244-IRFIH,Churned,1,0.8766185886366366,True,94.5,4333
2684-EIWEO,Churned,1,0.33976546945516134,True,91.7,2482
6683-VLCTZ,Churned,1,0.8033311805902109,True,98.55,5444
0691-IFBQW,Churned,1,0.25412950636584386,False,110.0,2403
3643-AHCFP,Churned,1,0.9793927108902,True,95.6,3265
9231-ZJYAM,Churned,1,0.7310324141564735,True,78.85,5301
0727-BMPLR,Churned,1,0.3177136044347821,False,100.0,5679
0947-MUGVO,Churned,1,0.7537235595030919,True,73.65,5849
0781-LKXBR,Churned,1,0.8428866622453519,True,100.5,4038
1907-UBQFC,Churned,1,0.5539558522130291,True,72.85,3189
6513-EECDB,Churned,1,0.9327899391969604,True,73.55,4369
7074-IEVOJ,Churned,1,0.7206459971653216,True,79.4,3501
4750-ZRXIU,Churned,1,0.920844211249471,True,84.6,2467
7028-DVOIQ,Churned,1,0.7319015346141536,True,99.05,2074
4208-UFFGW,Churned,1,0.39163981572040163,True,44.95,5900
9889-TMAHG,Churned,1,0.45642119834443884,True,100.3,5084
8919-FYFQZ,Churned,1,0.4433140520865459,True,30.35,4829
6646-QVXLR,Churned,1,0.4448100626481948,True,103.75,5052
9369-XFEHK,Churned,1,0.9127973170838203,True,80.6,3601
1374-DMZUI,Churned,1,0.8752326745703661,True,94.3,5419
1989-PRJHP,Churned,1,0.8137582683789853,True,75.5,2377
4822-RVYBB,Churned,1,0.8820234887198714,True,100.6,5906
4184-TJFAN,Churned,1,0.9088198868077042,True,88.3,4486
4145-UQXUQ,Churned,1,0.8209449392151671,True,92.1,5662
1236-WFCDV,Churned,1,0.5937494759462264,True,90.45,4777
1271-SJBGZ,Churned,1,0.5068284216620242,True,43.65,2437
4441-NIHPT,Churned,1,0.6234725401046328,True,74.3,2995
8999-BOHSE,Churned,1,0.6960910968865625,True,89.7,2202
7029-RPUAV,Churned,1,0.9612035638796531,True,100.45,5508
8111-SLLHI,Churned,1,0.8539791842744188,True,105.65,4687
5293-WXJAK,Churned,1,0.5392964558815356,True,104.05,4553
4086-YQSNZ,Churned,1,0.9266803976318632,True,80.4,3834
8399-YNDCH,Churned,1,0.47358697760879076,True,60.05,4716
5565-FILXA,Churned,1,0.8128893659572872,True,96.15,5913
4187-CINZD,Churned,1,0.13024879136006676,False,95.25,3180
6818-WOBHJ,Churned,1,0.7713342873043365,True,89.6,5651
9134-CEQMF,Churned,1,0.9325984263343261,True,89.5,3077
8519-IMDHU,Churned,1,0.9628567190195393,True,85.6,4981
