threshold,roc_auc,pr_auc,brier_score,accuracy,balanced_accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,f2,flagged_customers,flagged_rate
0.05,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.6293929712460063,0.7390056732557022,0.4153099114538703,0.9725752508361204,0.5820656525220176,2092,2047,41,1454,0.7667967513975319,3501,0.6214057507987221
0.06,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.64572239971601,0.7490512386864163,0.4263018534863195,0.9692307692307692,0.5921536575398447,2189,1950,46,1449,0.7724704126239471,3399,0.6033013844515442
0.07,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.6597444089456869,0.7566717923399331,0.436099333737129,0.9632107023411371,0.600375234521576,2277,1862,55,1440,0.7756948933419522,3302,0.5860844870429535
0.08,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.6751863684771033,0.7656860550712248,0.4476726023117776,0.9585284280936455,0.6103066439522998,2371,1768,62,1433,0.7804160766801002,3201,0.5681576144834931
0.09,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.6890308839190629,0.7736130986674596,0.4586683821164362,0.9538461538461539,0.6194613379669852,2456,1683,69,1426,0.7844647375948949,3109,0.5518281860134895
0.1,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.6998580049698261,0.7799137981885338,0.46774193548387094,0.9505016722408027,0.6269578645488639,2522,1617,74,1421,0.7878687070303837,3038,0.539226127085552
0.11,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.710152644657437,0.7852111532280025,0.4767206477732793,0.9451505016722408,0.6337743888764297,2588,1551,82,1413,0.7899150268336315,2964,0.5260915867944622
0.12,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7186723464678736,0.7893004870062971,0.4844827586206897,0.939799331103679,0.6393629124004551,2644,1495,90,1405,0.7911036036036037,2900,0.5147319843805467
0.13,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7245296414625488,0.791150496823995,0.48998946259220233,0.9331103678929766,0.6425610317825887,2687,1452,100,1395,0.7901891922510479,2847,0.5053248136315229
0.14,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7296769613063543,0.7925172981372232,0.4949964260185847,0.9264214046822743,0.6452364313999535,2726,1413,110,1385,0.7889040783777626,2798,0.49662761803336886
0.15,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7357117500887469,0.7947017561154561,0.5010924981791697,0.9204013377926421,0.6489035604810186,2769,1370,119,1376,0.7884483153793261,2746,0.48739794107206247
0.16,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.743166489172879,0.7982799231714639,0.5089219330855018,0.9157190635451505,0.6542413381123059,2818,1321,126,1369,0.7895040369088812,2690,0.4774582889598864
0.17,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7497337593184239,0.8003994954592137,0.516153553781832,0.9083612040133779,0.6582646631119728,2866,1273,137,1358,0.7885263035652073,2631,0.466986155484558
0.18,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7559460418885339,0.8016365253914757,0.5233644859813084,0.8989966555183947,0.6615801132168349,2915,1224,151,1344,0.7861488067384184,2568,0.45580404685835996
0.19,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7625133120340788,0.8041833897480608,0.5312375646637485,0.8929765886287625,0.6661676646706587,2961,1178,160,1335,0.7859413634758036,2513,0.4460418885339013
0.2,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7669506567270146,0.8044260444535664,0.536961819658814,0.8842809364548495,0.6681829668941117,2999,1140,173,1322,0.7829898128405591,2462,0.4369897053603124
0.21,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7706780262690806,0.8043991366890197,0.5419942076954902,0.8762541806020067,0.6697341513292433,3032,1107,185,1310,0.7800404906514231,2417,0.42900248491302806
0.22,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.775825346112886,0.8059795840366657,0.5489451476793249,0.8702341137123746,0.6732212160413972,3070,1069,194,1301,0.7790419161676647,2370,0.4206602768903088
0.23,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7800851970181044,0.808024250925813,0.5547476475620188,0.8675585284280937,0.6767545003913383,3098,1041,198,1297,0.7796345275306564,2338,0.41498047568335106
0.24,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7836350727724529,0.8076628950007312,0.5602094240837696,0.8588628762541806,0.6781093213625561,3131,1008,211,1284,0.7761121856866537,2292,0.4068157614483493
0.25,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7866524671636492,0.807152778731715,0.5650821856952466,0.8508361204013378,0.6791243993593166,3160,979,223,1272,0.7726886162070222,2251,0.3995385161519347
0.26,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.788604898828541,0.8054905576371589,0.5687160940325497,0.8414715719063545,0.6787159428108983,3185,954,237,1258,0.767822265625,2212,0.39261625843095493
0.27,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7941072062477813,0.8075262552714573,0.5773672055427251,0.8361204013377926,0.6830601092896175,3224,915,245,1250,0.7673419275629221,2165,0.3842740504082357
0.28,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7971246006389776,0.8076570771056941,0.5826291079812207,0.8301003344481606,0.6846896551724138,3250,889,254,1241,0.7651048088779285,2130,0.3780617678381257
