feature,log_odds_contribution,effect,odds_multiplier_for_contribution,customer_id,predicted_probability,background_probability,absolute_contribution
monthly_charge,1.851665333726939,Raises risk relative to portfolio background,6.3704195684071685,4927-WWOOZ,0.9556000100842355,0.10020231507146626,1.851665333726939
number_of_referrals,0.9976060805634309,Raises risk relative to portfolio background,2.711782263577177,4927-WWOOZ,0.9556000100842355,0.10020231507146626,0.9976060805634309
contract,0.9260035417493881,Raises risk relative to portfolio background,2.5244003307505465,4927-WWOOZ,0.9556000100842355,0.10020231507146626,0.9260035417493881
tenure_in_months,0.8443050100209762,Raises risk relative to portfolio background,2.3263604554070243,4927-WWOOZ,0.9556000100842355,0.10020231507146626,0.8443050100209762
married,0.8083763459645046,Raises risk relative to portfolio background,2.244261123225932,4927-WWOOZ,0.9556000100842355,0.10020231507146626,0.8083763459645046
internet_type,-0.7599092522102373,Lowers risk relative to portfolio background,0.4677088686302191,4927-WWOOZ,0.9556000100842355,0.10020231507146626,0.7599092522102373
number_of_dependents,0.2826921030633509,Raises risk relative to portfolio background,1.326696613101899,4927-WWOOZ,0.9556000100842355,0.10020231507146626,0.2826921030633509
streaming_tv,-0.21273160832990323,Lowers risk relative to portfolio background,0.8083730687018544,4927-WWOOZ,0.9556000100842355,0.10020231507146626,0.21273160832990323
device_protection_plan,-0.17420721398836386,Lowers risk relative to portfolio background,0.8401227944257934,4927-WWOOZ,0.9556000100842355,0.10020231507146626,0.17420721398836386
phone_service,-0.16823916084073723,Lowers risk relative to portfolio background,0.8451516833251432,4927-WWOOZ,0.9556000100842355,0.10020231507146626,0.16823916084073723
unlimited_data,-0.09543844715257908,Lowers risk relative to portfolio background,0.908974309888773,4927-WWOOZ,0.9556000100842355,0.10020231507146626,0.09543844715257908
multiple_lines,-0.019794610946933952,Lowers risk relative to portfolio background,0.9804000160601734,4927-WWOOZ,0.9556000100842355,0.10020231507146626,0.019794610946933952
