feature,pr_auc_importance_mean,pr_auc_importance_std,positive_repeats,repeats,importance_ci_lower_approx,importance_ci_upper_approx
monthly_charge,0.29752856666646144,0.01685848546589819,20,20,0.264485935153301,0.3305711981796219
number_of_referrals,0.14526446234568785,0.012836819448911707,20,20,0.1201042962258209,0.17042462846555478
contract,0.1291762679638072,0.015215685883935036,20,20,0.09935352363129454,0.15899901229631988
married,0.09260442645288816,0.010517611617554391,20,20,0.07198990768248156,0.11321894522329476
tenure_in_months,0.08007272695286542,0.011467775187970408,20,20,0.05759588758444342,0.10254956632128742
internet_type,0.04470465064161676,0.009396530489557627,20,20,0.02628745088208381,0.0631218504011497
phone_service,0.03350286934103012,0.009672332939648951,20,20,0.014545096779318173,0.052460641902742064
number_of_dependents,0.032770797292906675,0.007078867782076922,20,20,0.018896216440035907,0.04664537814577745
premium_tech_support,0.022096514464367424,0.0061050301026378895,20,20,0.010130655463197162,0.034062373465537685
payment_method,0.01892312214178705,0.006010438367759068,20,20,0.007142662940979278,0.030703581342594825
online_security,0.018472035579913327,0.004002063960609832,20,20,0.010627990217118057,0.026316080942708597
offer,0.016393194088891765,0.010748368698999863,18,20,-0.004673608561147964,0.037459996738931495
streaming_tv,0.003772578876506816,0.003404428552910989,17,20,-0.002900101087198722,0.010445258840212353
unlimited_data,0.0036210150161534115,0.002309763177592979,18,20,-0.0009061208119288265,0.00814815084423565
online_backup,0.003368973117052343,0.005584871389163674,14,20,-0.00757737480570846,0.014315321039813145
paperless_billing,0.003296693271226969,0.0045610772679454325,16,20,-0.005643018173946078,0.012236404716400017
streaming_movies,0.003277520772220083,0.004002003652916138,15,20,-0.004566406387495547,0.011121447931935712
avg_monthly_gb_download,0.0007892413024281452,0.0016212622186691369,13,20,-0.0023884326461633626,0.0039669152510196535
streaming_music,0.000362665794919248,0.0008572635704608735,11,20,-0.001317570803184064,0.00204290239302256
total_refunds,0.00034761101633452586,0.0005474497219582616,14,20,-0.000725390438703667,0.0014206124713727186
device_protection_plan,0.00031000947128138613,0.002155135310541573,10,20,-0.003914055737380097,0.004534074679942869
multiple_lines,4.9660911164362e-05,0.0006110701523809452,10,20,-0.0011480365875022906,0.0012473584098310147
avg_monthly_long_distance_charges,-9.549215828285606e-05,0.00022070838163601954,5,20,-0.0005280805862894544,0.0003370962697237422
total_extra_data_charges,-0.0020585862190971526,0.0021787298185564456,3,20,-0.0063288966634677864,0.002211724225273481
