term,original_feature,coefficient,absolute_coefficient,conditional_odds_multiplier,direction,interpretation_unit
monthly_charge,monthly_charge,2.087533704117533,2.087533704117533,8.064999939838009,Higher modeled churn odds,One training-standard-deviation increase
phone_service_Yes,phone_service,-1.737402360412481,1.737402360412481,0.17597693205341025,Lower modeled churn odds,Category relative to the encoder reference
married_Yes,married,1.5636898117627038,1.5636898117627038,4.776412834612958,Higher modeled churn odds,Category relative to the encoder reference
number_of_referrals,number_of_referrals,-1.5338145242036871,1.5338145242036871,0.21571126013228095,Lower modeled churn odds,One training-standard-deviation increase
contract_Two Year,contract,-1.2303622667098963,1.2303622667098963,0.2921867089879252,Lower modeled churn odds,Category relative to the encoder reference
contract_Month-to-Month,contract,1.2049604959451696,1.2049604959451696,3.3366272651574285,Higher modeled churn odds,Category relative to the encoder reference
internet_type_Fiber Optic,internet_type,-1.0019261720159665,1.0019261720159665,0.3671715240905165,Lower modeled churn odds,Category relative to the encoder reference
internet_type_No Internet,internet_type,0.9008468360310452,0.9008468360310452,2.461686873871694,Higher modeled churn odds,Category relative to the encoder reference
premium_tech_support_Yes,premium_tech_support,-0.7036895015653973,0.7036895015653973,0.49475652724718516,Lower modeled churn odds,Category relative to the encoder reference
offer_Offer A,offer,0.6984810645032598,0.6984810645032598,2.010696268855638,Higher modeled churn odds,Category relative to the encoder reference
tenure_in_months,tenure_in_months,-0.6818597707389371,0.6818597707389371,0.5056756764945107,Lower modeled churn odds,One training-standard-deviation increase
online_security_Yes,online_security,-0.6671809058426212,0.6671809058426212,0.5131531677092519,Lower modeled churn odds,Category relative to the encoder reference
number_of_dependents,number_of_dependents,-0.5806734490138831,0.5806734490138831,0.5595214305004206,Lower modeled churn odds,One training-standard-deviation increase
offer_Offer D,offer,-0.5474918564474397,0.5474918564474397,0.5783986995790402,Lower modeled churn odds,Category relative to the encoder reference
payment_method_Credit Card,payment_method,-0.49570218433862906,0.49570218433862906,0.6091430263951367,Lower modeled churn odds,Category relative to the encoder reference
payment_method_Mailed Check,payment_method,0.4936454959995535,0.4936454959995535,1.6382776818458298,Higher modeled churn odds,Category relative to the encoder reference
online_backup_Yes,online_backup,-0.45289696646622013,0.45289696646622013,0.6357836372866886,Lower modeled churn odds,Category relative to the encoder reference
streaming_movies_Yes,streaming_movies,-0.3703207508219707,0.3703207508219707,0.6905128125609911,Lower modeled churn odds,Category relative to the encoder reference
streaming_tv_Yes,streaming_tv,-0.345541678382728,0.345541678382728,0.7078368296947647,Lower modeled churn odds,Category relative to the encoder reference
paperless_billing_Yes,paperless_billing,0.3278806942477307,0.3278806942477307,1.388023363239034,Higher modeled churn odds,Category relative to the encoder reference
offer_Offer C,offer,-0.2967030838111173,0.2967030838111173,0.7432646669145958,Lower modeled churn odds,Category relative to the encoder reference
offer_Offer E,offer,0.2907510399363958,0.2907510399363958,1.3374315754487565,Higher modeled churn odds,Category relative to the encoder reference
device_protection_plan_Yes,device_protection_plan,-0.2655142627396768,0.2655142627396768,0.7668115059747442,Lower modeled churn odds,Category relative to the encoder reference
offer_Offer B,offer,-0.1849069435313759,0.1849069435313759,0.8311816270804273,Lower modeled churn odds,Category relative to the encoder reference
unlimited_data_Yes,unlimited_data,0.14165921671140452,0.14165921671140452,1.1521839365949924,Higher modeled churn odds,Category relative to the encoder reference
internet_type_Cable,internet_type,0.11003107460047756,0.11003107460047756,1.1163127588928945,Higher modeled churn odds,Category relative to the encoder reference
internet_type_DSL,internet_type,-0.07850926018466314,0.07850926018466314,0.9244934989113951,Lower modeled churn odds,Category relative to the encoder reference
avg_monthly_gb_download,avg_monthly_gb_download,-0.06782071411661877,0.06782071411661877,0.9344279883075914,Lower modeled churn odds,One training-standard-deviation increase
payment_method_Bank Withdrawal,payment_method,-0.0675008332301036,0.0675008332301036,0.9347269417730766,Lower modeled churn odds,Category relative to the encoder reference
total_extra_data_charges,total_extra_data_charges,0.05856581636826787,0.05856581636826787,1.060314769465462,Higher modeled churn odds,One training-standard-deviation increase
total_refunds,total_refunds,-0.04872118047475053,0.04872118047475053,0.9524466534039154,Lower modeled churn odds,One training-standard-deviation increase
contract_One Year,contract,-0.04415575080415384,0.04415575080415384,0.9568049227310738,Lower modeled churn odds,Category relative to the encoder reference
multiple_lines_Yes,multiple_lines,-0.03423709354107461,0.03423709354107461,0.9663423639417332,Lower modeled churn odds,Category relative to the encoder reference
offer_No Offer,offer,-0.029687742218786894,0.029687742218786894,0.970748610034135,Lower modeled churn odds,Category relative to the encoder reference
streaming_music_Yes,streaming_music,-0.02353686589837002,0.02353686589837002,0.9767379656825191,Lower modeled churn odds,Category relative to the encoder reference
avg_monthly_long_distance_charges,avg_monthly_long_distance_charges,0.0006119255967057691,0.0006119255967057691,1.0006121128613692,Higher modeled churn odds,One training-standard-deviation increase
