customer_id,split
5402-HTOTQ,train
7145-FEJWU,train
2607-FBDFF,train
1474-JUWSM,train
9643-AVVWI,train
2538-OIMXF,train
5155-AZQPB,train
6048-UWKAL,train
3057-VJJQE,train
7338-ERIVA,train
4418-LZMSV,train
7746-AWNQW,train
6609-MXJHJ,train
1345-GKDZZ,train
7285-KLOTR,train
7623-HKYRK,train
7570-WELNY,train
7516-GMHUV,train
1891-QRQSA,train
4553-DVPZG,train
3427-GGZZI,train
3308-DGHKL,train
3890-RTCMS,train
5243-SAOTC,train
1261-FWTTE,train
1450-SKCVI,train
2357-COQEK,train
3223-WZWJM,train
4890-VMUAV,train
4193-ORFCL,train
8739-XNIKG,train
2718-GAXQD,train
5349-IECLD,train
7801-CEDNV,train
8242-JSVBO,train
3677-IYRBF,train
1986-PHGZF,train
4419-UJMUS,train
6243-OZGFH,train
3338-CVVEH,train
3594-BDSOA,train
2523-EWWZL,train
0582-AVCLN,train
7730-IUTDZ,train
5245-VDBUR,train
8603-IJWDN,train
1399-OUPJN,train
4061-UKJWL,train
6100-QQHEB,train
8106-GWQOK,train
1488-PBLJN,train
9600-NAXZN,train
3316-UWXUY,train
5373-SFODM,train
3170-GWYKC,train
2632-TACXW,train
2887-JPYLU,train
3533-UVMOM,train
3422-LYEPQ,train
7036-TYDEC,train
2868-MZAGQ,train
8152-VETUR,train
3834-XUIFC,train
8931-GJJIQ,train
9101-BWFSS,train
8760-ZRHKE,train
4177-JPDFU,train
2207-NHRJK,train
5639-NTUPK,train
9585-KKMFD,train
7245-JMTTQ,train
8111-SLLHI,train
3278-FSIXX,train
2040-XBAVJ,train
8695-WDYEA,train
7321-KKSDU,train
0023-XUOPT,train
9172-JITSM,train
7517-LDMPS,train
3640-JQGJG,train
1093-YSWCA,train
5461-QKNTN,train
4710-NKCAW,train
0670-KDOMA,train
3088-FVYWK,train
5730-DBDSI,train
5067-DGXLL,train
6348-SNFUS,train
1421-HCERK,train
2824-MYYBN,train
3873-WOSBC,train
0578-SKVMF,train
4919-MOAVT,train
9419-IPPBE,train
4482-FTFFX,train
0027-KWYKW,train
2096-XOTMO,train
0076-LVEPS,train
2324-AALNO,train
5220-AGAAX,train
9430-NKQLY,train
2154-KVJFF,train
3420-ZDBMA,train
2664-XJZNO,train
9685-WKZGT,train
6242-SGYTS,train
0795-LAFGP,train
5309-TAIKL,train
6743-HHQPF,train
4070-OKWVH,train
8314-DPQHL,train
4391-RESHN,train
7850-VWJUU,train
7779-LGOVN,train
2971-SGAFL,train
2229-DPMBI,train
3996-ZNWYK,train
9762-YAQAA,train
9851-KIELU,train
3489-HHPFY,train
7139-JZFVG,train
2495-INZWQ,train
3855-ONCAR,train
8208-EUMTE,train
9629-NHXFW,train
3794-NFNCH,train
9448-REEVD,train
8679-JOEVF,train
2665-NPTGL,train
0599-XNYDO,train
7465-ZZRVX,train
9755-JHNMN,train
1766-GKNMI,train
7941-RCJOW,train
3128-YOVTD,train
0357-NVCRI,train
9919-KNPOO,train
9667-EQRXU,train
6034-ZRYCV,train
9114-AAFQH,train
7167-PCEYD,train
3612-YVGSJ,train
0129-QMPDR,train
0320-JDNQG,train
4001-TSBTV,train
3237-AJGEH,train
5702-SKUOB,train
5268-DSMNQ,train
6127-IYJOZ,train
8619-IJNDK,train
5766-XQXMQ,train
0549-CYCQN,train
4686-GEFRM,train
4433-JCGCG,train
8245-UMPYT,train
6992-TKNYO,train
3740-RLMVT,train
4083-EUGRJ,train
8901-UPRHR,train
9513-DXHDA,train
1228-ZLNBX,train
8118-TJAFG,train
6064-PUPMC,train
7812-FZHPE,train
8905-IAZPF,train
0872-NXJYS,train
7134-HBPBS,train
8374-UULRV,train
0595-ITUDF,train
2195-ZRVAX,train
9574-BOSMD,train
7803-XOCCZ,train
7319-ZNRTR,train
3908-MKIMJ,train
7537-CBQUZ,train
1047-RNXZV,train
8402-OOOHJ,train
4143-OOBWZ,train
6574-MCOEH,train
7472-EQOAV,train
9391-DXGGG,train
3005-NFMTA,train
2164-SOQXL,train
3392-EHMNK,train
0572-ZJKLT,train
0880-FVFWF,train
5404-GGUKR,train
6368-TZZDT,train
3312-UUMZW,train
2468-SJFLM,train
4369-HTUIF,train
8859-YSTWS,train
2709-UQGNP,train
9136-ALYBR,train
5619-XZZKR,train
6941-PMGEP,train
1299-AURJA,train
4198-VFOEA,train
2105-PHWON,train
7416-CKTEP,train
4661-NJEUX,train
9631-XEYKE,train
2338-BQEZT,train
0743-HNPFG,train
2969-WGHQO,train
8039-EQPIM,train
1919-RTPQD,train
9589-ABEPT,train
1792-UXAFY,train
6164-HXUGH,train
6481-OGDOO,train
2294-DMMUS,train
6656-GULJQ,train
2533-QVMSK,train
5453-YBTWV,train
2608-BHKFN,train
6502-HCJTI,train
4114-QMKVN,train
6502-MJQAE,train
2153-MREFK,train
1335-MXCSE,train
0804-XBFBV,train
4145-UQXUQ,train
7560-QRBXH,train
2324-EFHVG,train
1548-FEHVL,train
9763-PDTKK,train
3457-PQBYH,train
5167-ZFFMM,train
5294-CDGWY,train
4983-CCWMC,train
9095-HFAFX,train
3440-JPSCL,train
0023-HGHWL,train
2486-WYVVE,train
2565-JSLRY,train
5914-XRFQB,train
8132-YPVBX,train
5948-UJZLF,train
0958-YHXGP,train
4010-YLMVT,train
7639-SUPCW,train
1215-FIGMP,train
6313-GIDIT,train
4872-JCVCA,train
0139-IVFJG,train
9092-GDZKO,train
9350-ZXYJC,train
5249-QYHEX,train
8690-ZVLCL,train
6029-CSMJE,train
0326-VDYXE,train
4143-HHPMK,train
8740-CRYFY,train
2959-EEXWB,train
1904-WAJAA,train
3259-KNMRR,train
2081-VEYEH,train
8853-TZDGH,train
5569-IDSEY,train
0343-QLUZP,train
2672-OJQZP,train
7633-MVPUY,train
9503-XJUME,train
8695-ARGXZ,train
2446-ZKVAF,train
2019-HDCZY,train
5396-IZEPB,train
4074-SJFFA,train
9297-EONCV,train
9572-WUKSB,train
1114-CENIM,train
1875-QIVME,train
4430-UZIPO,train
4228-ZGYUW,train
5774-QPLTF,train
3374-LXDEV,train
6754-WKSHP,train
8161-QYMTT,train
9611-CTWIH,train
3892-NXAZG,train
8591-NXRCV,train
1112-CUNAO,train
0015-UOCOJ,train
7552-KEYGT,train
9534-NSXEM,train
8042-RNLKO,train
2232-DMLXU,train
2018-QKYGT,train
2800-VEQXM,train
0739-UUAJR,train
0193-ESZXP,train
4664-NJCMS,train
7133-VBDCG,train
5781-RFZRP,train
7064-FRRSW,train
5698-BQJOH,train
3765-JXVKY,train
1022-RKXDR,train
3941-XTSKM,train
8348-JLBUG,train
1427-VERSM,train
7503-MIOGA,train
1657-DYMBM,train
6258-PVZWJ,train
0114-PEGZZ,train
5469-NUJUR,train
0040-HALCW,train
6848-YLDFR,train
0111-KLBQG,train
6849-OYAMU,train
2279-AXJJK,train
7025-IWFHT,train
8654-DHAOW,train
2309-OSFEU,train
5709-LVOEQ,train
6469-MRVET,train
8821-XNHVZ,train
7627-JKIAZ,train
6778-EICRF,train
1734-ZMNTZ,train
0253-ZTEOB,train
1568-BEKZM,train
1704-NRWYE,train
7471-WNSUF,train
7823-JSOAG,train
2172-EJXVF,train
1964-SVLEA,train
1985-MBRYP,train
2978-XXSOG,train
3219-JQRSL,train
4990-ALDGW,train
3050-RLLXC,train
9332-GYWLO,train
1644-IRKSF,train
1764-VUUMT,train
2777-PHDEI,train
6351-SCJKT,train
3207-OYBWH,train
3642-GKTCT,train
7228-PAQPD,train
7609-YBPXG,train
2650-GYRYL,train
7727-SHVZV,train
9443-JUBUO,train
0361-HJRDX,train
4937-QPZPO,train
9475-NNDGC,train
5296-BFCYD,train
3528-HFRIQ,train
0611-DFXKO,train
5914-GXMDA,train
8854-CCVSQ,train
2300-RQGOI,train
2718-YSKCS,train
3733-UOCWF,train
1031-IIDEO,train
9578-VRMNM,train
5074-FBGHB,train
9591-YVTEB,train
1320-HTRDR,train
