customer_id,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,country,state,city,zip_code,latitude,longitude,population,quarter,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_label,churn_score,cltv,churn_category,churn_reason,churn_flag,active_flag,tenure_group,age_group,monthly_charge_band,customer_value_segment,service_count,protection_support_service_count,referral_group,contract_risk_group,descriptive_risk_points,descriptive_risk_segment,avg_revenue_per_tenure_month,customer_engagement_profile,predicted_churn_probability,high_risk_at_selected_threshold,flag_high_value_high_risk,flag_early_fiber,flag_early_month_to_month,flag_senior_high_charge,flag_fiber_month_to_month,flag_month_to_month_no_support,flag_san_diego,primary_intervention,intervention_priority,recommended_action,base_offer_cost
5386-THSLQ,Female,65,No,Yes,Yes,No,0,United States,California,Santa Monica,90402,34.035849,-118.503508,11509,Q3,No,0,66,Offer A,No,0.0,No,Yes,Cable,9,No,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,45.55,3027.25,0.0,0,0.0,3027.25,5,Stayed,No,28,6238,Not Applicable,Not Applicable,0,1,49–72 months,60–69,$35–$69.99,Premium Value,5,2,No Referrals,Moderate Contract Risk,1,Lower,45.87,Protection Engaged,0.460340844856056,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
2504-DSHIH,Male,66,No,Yes,Yes,No,0,United States,California,Thousand Oaks,91360,34.214054,-118.88109,42526,Q3,Yes,1,23,No Offer,Yes,42.59,Yes,Yes,Fiber Optic,2,No,No,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,86.8,1975.85,0.0,0,979.57,2955.42,3,Stayed,No,38,5788,Not Applicable,Not Applicable,0,1,13–24 months,60–69,$70–$89.99,Premium Value,5,0,1–2 Referrals,Moderate Contract Risk,2,Elevated,128.5,Advocate,0.6153682098780945,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
7529-ZDFXI,Male,79,No,Yes,Yes,No,0,United States,California,La Verne,91750,34.144703,-117.770299,35530,Q3,Yes,1,57,No Offer,Yes,36.66,Yes,Yes,Fiber Optic,9,No,Yes,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,89.85,4925.35,0.0,0,2089.62,7014.97,5,Stayed,No,36,4429,Not Applicable,Not Applicable,0,1,49–72 months,70+,$70–$89.99,Core Value,5,1,1–2 Referrals,Moderate Contract Risk,2,Elevated,123.07,Advocate,0.404170168229368,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
3197-ARFOY,Female,67,No,Yes,No,No,0,United States,California,Ontario,91761,34.035602,-117.591528,56280,Q3,No,0,19,No Offer,Yes,7.95,No,Yes,Fiber Optic,12,Yes,Yes,No,Yes,Yes,Yes,No,No,One Year,Yes,Mailed Check,105.0,2007.25,0.0,20,151.05,2178.3,3,Stayed,No,59,3524,Not Applicable,Not Applicable,0,1,13–24 months,60–69,$90+,Core Value,7,3,No Referrals,Moderate Contract Risk,2,Elevated,114.65,Protection Engaged,0.3633460716720774,True,False,False,False,True,False,False,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
4716-HHKQH,Male,68,No,Yes,Yes,No,0,United States,California,Pomona,91767,34.083086,-117.737997,46626,Q3,Yes,3,20,No Offer,Yes,27.56,Yes,Yes,Fiber Optic,3,No,Yes,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,107.05,2172.05,0.0,0,551.2,2723.25,3,Stayed,No,65,5328,Not Applicable,Not Applicable,0,1,13–24 months,60–69,$90+,High Value,7,2,3–5 Referrals,Moderate Contract Risk,2,Elevated,136.16,Advocate,0.3666868029670141,True,False,False,False,True,False,False,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
4847-TAJYI,Female,77,No,Yes,No,No,0,United States,California,Chula Vista,91911,32.607964,-117.059459,71126,Q3,No,0,6,Offer E,Yes,8.06,No,Yes,Fiber Optic,19,No,No,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,89.35,567.8,0.0,0,48.36,616.16,3,Stayed,No,75,2578,Not Applicable,Not Applicable,0,1,1–6 months,70+,$70–$89.99,Emerging Value,5,0,No Referrals,Moderate Contract Risk,3,High,102.69,Multi-Service,0.5912982316788948,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
6851-WEFYX,Male,73,No,Yes,Yes,No,0,United States,California,Descanso,91916,32.912664,-116.635387,1587,Q3,Yes,4,35,No Offer,Yes,2.12,Yes,Yes,Fiber Optic,3,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,100.8,3437.5,0.0,0,74.2,3511.7,5,Stayed,No,38,3318,Not Applicable,Not Applicable,0,1,25–48 months,70+,$90+,Emerging Value,6,1,3–5 Referrals,Moderate Contract Risk,3,High,100.33,Advocate,0.3340271069765935,True,False,False,False,True,False,False,False,Senior assistance,4,"Accessible bill review, assisted support, and service-fit consultation",20.0
2799-ARNLO,Female,67,No,Yes,Yes,No,0,United States,California,Bonsall,92003,33.290907,-117.202895,3849,Q3,No,0,5,Offer E,Yes,9.56,No,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,69.35,341.6,0.0,0,47.8,389.4,4,Stayed,No,41,5437,Not Applicable,Not Applicable,0,1,1–6 months,60–69,$35–$69.99,Premium Value,3,0,No Referrals,Moderate Contract Risk,3,High,77.88,Basic Relationship,0.7873523056682946,True,True,False,False,False,False,False,False,High-value outreach,1,Dedicated retention specialist and personalized value-protection review,75.0
0021-IKXGC,Female,72,No,Yes,No,No,0,United States,California,San Marcos,92078,33.119028,-117.166036,6760,Q3,No,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,4,Joined,No,50,4432,Not Applicable,Not Applicable,0,1,1–6 months,70+,$70–$89.99,Core Value,3,0,No Referrals,Moderate Contract Risk,3,High,79.87,Basic Relationship,0.4957714086716085,True,False,False,False,False,False,False,False,Competitor-response retention,8,"Personalized device, data, speed, or value response based on customer needs",55.0
4115-NZRKS,Female,72,No,Yes,No,No,0,United States,California,San Diego,92102,32.716007,-117.117462,47140,Q3,No,0,7,No Offer,Yes,16.36,No,Yes,Fiber Optic,28,No,No,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,89.15,574.35,0.0,0,114.52,688.87,5,Stayed,No,25,2415,Not Applicable,Not Applicable,0,1,7–12 months,70+,$70–$89.99,Emerging Value,5,0,No Referrals,Moderate Contract Risk,3,High,98.41,Multi-Service,0.4944172387021317,True,False,False,False,False,False,False,True,San Diego investigation,7,"Local network, acquisition, service, and competitor root-cause investigation",15.0
