scenario,eligible_customers,model_weighted_expected_churners,expected_reached_customers,expected_offer_acceptors,expected_customers_saved,contact_cost,expected_offer_cost,total_campaign_cost,expected_retained_gross_margin,estimated_net_benefit,estimated_roi,cost_per_expected_save,reach_rate,acceptance_rate,incremental_save_rate,retention_horizon_months,gross_margin_rate,contact_cost_per_target,offer_cost_multiplier
Sensitivity,947,502.2451734918709,710.25,213.075,16.95077460535064,3788.0,11146.5,14934.5,10579.084888327649,-4355.4151116723515,-0.2916344779987513,881.0511818902843,0.75,0.3,0.15,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,213.075,28.251291008917736,3788.0,11146.5,14934.5,17631.80814721275,2697.3081472127487,0.18060920333541455,528.6307091341706,0.75,0.3,0.25,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,213.075,39.55180741248483,3788.0,11146.5,14934.5,24684.53140609785,9750.031406097849,0.6528528846695805,377.5933636672647,0.75,0.3,0.35,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,213.075,50.85232381605193,3788.0,11146.5,14934.5,31737.25466498295,16802.75466498295,1.1250965660037464,293.6837272967614,0.75,0.3,0.45,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,213.075,62.15284021961902,3788.0,11146.5,14934.5,38789.97792386805,23855.47792386805,1.5973402473379121,240.2866859700775,0.75,0.3,0.55,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,284.1,22.601032807134192,3788.0,14862.0,18650.0,14105.4465177702,-4544.5534822298,-0.24367578993189273,825.1835285205631,0.75,0.4,0.15,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,284.1,37.66838801189032,3788.0,14862.0,18650.0,23509.077529617,4859.0775296169995,0.26054035011351206,495.11011711233783,0.75,0.4,0.25,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,284.1,52.73574321664645,3788.0,14862.0,18650.0,32912.7085414638,14262.708541463799,0.7647564901589168,353.6500836516699,0.75,0.4,0.35,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,284.1,67.80309842140258,3788.0,14862.0,18650.0,42316.33955331061,23666.33955331061,1.2689726302043223,275.061176173521,0.75,0.4,0.45,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,284.1,82.87045362615872,3788.0,14862.0,18650.0,51719.970565157404,33069.970565157404,1.7731887702497267,225.0500532328808,0.75,0.4,0.55,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,355.125,28.251291008917736,3788.0,18577.5,22365.5,17631.80814721275,-4733.691852787251,-0.21165151026300558,791.6629364987306,0.75,0.5,0.15,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,355.125,47.0854850148629,3788.0,18577.5,22365.5,29386.346912021247,7020.846912021247,0.3139141495616573,474.9977618992383,0.75,0.5,0.25,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,355.125,65.91967902080805,3788.0,18577.5,22365.5,41140.88567682974,18775.38567682974,0.83947980938632,339.2841156423131,0.75,0.5,0.35,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,355.125,84.75387302675321,3788.0,18577.5,22365.5,52895.42444163824,30529.924441638243,1.365045469210983,263.8876454995769,0.75,0.5,0.45,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,355.125,103.58806703269838,3788.0,18577.5,22365.5,64649.96320644675,42284.46320644675,1.8906111290356464,215.90807359056288,0.75,0.5,0.55,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,426.15,33.90154921070128,3788.0,22293.0,26081.0,21158.169776655297,-4922.830223344703,-0.18875159017463683,769.3158751508422,0.75,0.6,0.15,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,426.15,56.50258201783547,3788.0,22293.0,26081.0,35263.6162944255,9182.616294425497,0.3520806830422721,461.5895250905053,0.75,0.6,0.25,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,426.15,79.10361482496965,3788.0,22293.0,26081.0,49369.0628121957,23288.062812195698,0.8929129562591809,329.7068036360752,0.75,0.6,0.35,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,426.15,101.70464763210386,3788.0,22293.0,26081.0,63474.5093299659,37393.5093299659,1.4337452294760897,256.4386250502807,0.75,0.6,0.45,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,426.15,124.30568043923805,3788.0,22293.0,26081.0,77579.9558477361,51498.9558477361,1.9745775026929986,209.81342049568423,0.75,0.6,0.55,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,497.17499999999995,39.55180741248483,3788.0,26008.5,29796.5,24684.531406097845,-5111.968593902155,-0.17156272024909486,753.353688473779,0.75,0.7,0.15,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,497.17499999999995,65.91967902080805,3788.0,26008.5,29796.5,41140.88567682974,11344.385676829741,0.3807287995848419,452.01221308426744,0.75,0.7,0.25,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,497.17499999999995,92.28755062913126,3788.0,26008.5,29796.5,57597.23994756164,27800.73994756164,0.9330203194187787,322.8658664887625,0.75,0.7,0.35,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,497.17499999999995,118.65542223745449,3788.0,26008.5,29796.5,74053.59421829355,44257.094218293554,1.485311839252716,251.11789615792634,0.75,0.7,0.45,12,0.7,4.0,1.0
Sensitivity,947,502.2451734918709,710.25,497.17499999999995,145.02329384577772,3788.0,26008.5,29796.5,90509.94848902544,60713.44848902544,2.0376033590866522,205.46009685648517,0.75,0.7,0.55,12,0.7,4.0,1.0
