feature,levels,chi_square,p_value,cramers_v,effect_strength,minimum_expected_count,cells_expected_below_5,assumption_flag,adjusted_p_value,significant_after_fdr
customer_status,3,7043.0,0.0,0.9999289848381735,Strong,120.47792134033793,0,Pass,0.0,True
churn_category,6,7042.999999999999,0.0,0.9997159090851763,Strong,53.073974158739176,0,Pass,0.0,True
churn_reason,21,7043.0,0.0,0.9986498483805529,Strong,1.5922192247621751,3,Review sparse cells,0.0,True
contract,3,1445.2932428377585,0.0,0.45271954084813576,Moderate,411.3232997302286,0,Pass,0.0,True
internet_type,4,653.8320544960781,2.1503502231295044e-141,0.3040089148019314,Moderate,220.25699275876758,0,Pass,1.0751751115647521e-140,True
offer,6,481.7254889632278,7.020357379958891e-102,0.26018715779050705,Small,110.12849637938379,0,Pass,2.925148908316205e-101,True
dependents,2,433.7343787644573,2.5009723998553557e-96,0.24789206335835307,Small,431.7567797813432,0,Pass,8.932044285197699e-96,True
internet_service,2,364.51979899428943,2.9203003727695145e-81,0.22720398480842116,Small,404.9544228311799,0,Pass,9.125938664904733e-81,True
payment_method,3,337.8311612029035,4.374167780467117e-74,0.2183797205609873,Small,102.16740025557291,0,Pass,1.2150466056853104e-73,True
paperless_billing,2,258.27764906707307,4.073354668665985e-58,0.1911405817441778,Small,762.1422689194945,0,Pass,1.0183386671664961e-57,True
online_security,2,205.63310416062058,1.2320984831180024e-46,0.17046679246536994,Small,535.7817691324719,0,Pass,2.8002238252681873e-46,True
unlimited_data,2,194.5492167239403,3.2314344412572294e-44,0.16578588185611787,Small,609.8199630839131,0,Pass,6.732155085952562e-44,True
premium_tech_support,2,190.16684201526067,2.9235674453140758e-43,0.16389825806921432,Small,542.4160159023144,0,Pass,5.6222450871424535e-43,True
senior_citizen,2,159.42630036838742,1.510066805092378e-36,0.14999108255137,Small,303.0523924464007,0,Pass,2.6965478662363888e-36,True
married,2,158.7333820309922,2.1399113440759935e-36,0.14966271044155077,Small,902.7883004401533,0,Pass,3.566518906793322e-36,True
referred_a_friend,2,155.9403419629973,8.723767916604251e-36,0.14833172594061997,Small,855.021723697288,0,Pass,1.3630887369694142e-35,True
online_backup,2,47.260854003612764,6.214092807254819e-12,0.08105095761021351,Negligible,644.5834161578873,0,Pass,9.138371775374734e-12,True
device_protection_plan,2,30.513394539261306,3.315693222362861e-08,0.06473818673350204,Negligible,642.7258270623314,0,Pass,4.605129475503974e-08,True
streaming_tv,2,27.862522274233417,1.3024835736732686e-07,0.061762410903152945,Negligible,718.3562402385347,0,Pass,1.7137941758858797e-07,True
streaming_movies,2,26.25133601003847,2.9974738476267514e-07,0.059881538972873204,Negligible,724.9904870083772,0,Pass,3.746842309533439e-07,True
under_30,2,20.690894050453192,5.397206022838446e-06,0.052878989301736117,Negligible,371.7831889819679,0,Pass,6.4252452652838646e-06,True
streaming_music,2,14.421459930501182,0.00014612756977856083,0.043656566471560306,Negligible,660.2402385347153,0,Pass,0.0001660540565665464,True
multiple_lines,2,11.143251001456251,0.0008433795342472428,0.037952251052691864,Negligible,788.4138861280704,0,Pass,0.0009167168850513508,True
phone_service,2,0.9150329892546948,0.3387825358066928,0.0,Negligible,180.98225188130058,0,Pass,0.35289847479863834,False
gender,2,0.4840828822091383,0.48657873605618596,0.0,Negligible,925.6101093284112,0,Pass,0.48657873605618596,False
