feature,churned_median,not_churned_median,median_difference,mann_whitney_u,p_value,rank_biserial,effect_strength,direction,adjusted_p_value,significant_after_fdr
satisfaction_score,2.0,4.0,-2.0,479622.0,0.0,-0.9008041814207474,Strong,Lower among churned,0.0,True
churn_score,83.0,50.0,33.0,9116713.0,0.0,0.8855261201260862,Strong,Higher among churned,0.0,True
tenure_in_months,10.0,38.0,-28.0,2505137.5,3.386768917118873e-210,-0.48188539106612616,Moderate,Lower among churned,1.6933844585594365e-209,True
total_revenue,893.55,2579.325,-1685.7749999999999,3167839.5,1.6520954375802266e-108,-0.3448248155209931,Moderate,Lower among churned,6.19535789092585e-108,True
total_long_distance_charges,139.08,564.62,-425.53999999999996,3314517.5,1.1601086998995205e-90,-0.3144887502913588,Moderate,Lower among churned,2.900271749748801e-90,True
total_charges,703.55,1679.525,-975.9750000000001,3373129.0,7.06946421110085e-84,-0.30236667140286355,Moderate,Lower among churned,1.3255245395814095e-83,True
number_of_referrals,0.0,1.0,-1.0,3489489.0,6.107602751128034e-85,-0.2783009999993795,Small,Lower among churned,1.3087720180988645e-84,True
monthly_charge,79.65,64.42500000000001,15.224999999999994,6003125.5,3.311627651988585e-54,0.24157137914125104,Small,Higher among churned,5.519379419980975e-54,True
number_of_dependents,0.0,0.0,0.0,3687593.0,9.581227674720307e-95,-0.23732896693203842,Small,Lower among churned,2.8743683024160926e-94,True
cltv,4238.0,4620.0,-382.0,4053479.5,3.2444844293791764e-25,-0.1616560184964002,Small,Lower among churned,4.866726644068765e-25,True
avg_monthly_gb_download,19.0,16.0,3.0,5531210.0,1.5685846242452628e-20,0.14396942526353618,Small,Higher among churned,2.1389790330617223e-20,True
age,50.0,45.0,5.0,5529067.0,3.193759946118799e-20,0.14352620823175855,Small,Higher among churned,3.9921999326484987e-20,True
total_extra_data_charges,0.0,0.0,0.0,4984242.0,0.0001791985024153008,0.030845051284326352,Negligible,Higher among churned,0.00020676750278688554,True
total_refunds,0.0,0.0,0.0,4721475.5,0.0009268111969966672,-0.023500533494322684,Negligible,Lower among churned,0.0009930119967821434,True
avg_monthly_long_distance_charges,22.88,22.89,-0.010000000000001563,4888556.0,0.477835880824348,0.011055193653578765,Negligible,Higher among churned,0.477835880824348,False
