tenure_group,contract,customers,churned_customers,active_customers,monthly_charge_exposure,observed_churn_rate
13–24 months,Month-to-Month,686,278,408,47103.6,0.40524781341107874
13–24 months,One Year,215,16,199,10239.85,0.07441860465116279
13–24 months,Two Year,123,0,123,5486.4,0.0
1–6 months,Month-to-Month,1367,780,587,75954.9,0.570592538405267
1–6 months,One Year,52,4,48,2026.3,0.07692307692307693
1–6 months,Two Year,51,0,51,2631.15,0.0
25–48 months,Month-to-Month,715,264,451,53775.35,0.36923076923076925
25–48 months,One Year,546,55,491,34400.1,0.10073260073260074
25–48 months,Two Year,333,6,327,16917.85,0.018018018018018018
49–72 months,Month-to-Month,296,89,207,25079.65,0.30067567567567566
49–72 months,One Year,643,82,561,51234.1,0.12752721617418353
49–72 months,Two Year,1300,42,1258,89249.95,0.03230769230769231
7–12 months,Month-to-Month,546,244,302,34852.65,0.4468864468864469
7–12 months,One Year,94,9,85,3869.95,0.09574468085106383
7–12 months,Two Year,76,0,76,3294.8,0.0
