tenure_group,internet_type,customers,churned_customers,active_customers,observed_churn_rate
13–24 months,Cable,107,30,77,0.2803738317757009
13–24 months,DSL,242,49,193,0.2024793388429752
13–24 months,Fiber Optic,436,206,230,0.4724770642201835
13–24 months,No Internet,239,9,230,0.03765690376569038
1–6 months,Cable,187,100,87,0.5347593582887701
1–6 months,DSL,333,161,172,0.48348348348348347
1–6 months,Fiber Optic,605,445,160,0.7355371900826446
1–6 months,No Internet,345,78,267,0.22608695652173913
25–48 months,Cable,188,35,153,0.18617021276595744
25–48 months,DSL,371,36,335,0.09703504043126684
25–48 months,Fiber Optic,698,248,450,0.3553008595988539
25–48 months,No Internet,337,6,331,0.017804154302670624
49–72 months,Cable,259,18,241,0.0694980694980695
49–72 months,DSL,537,24,513,0.0446927374301676
49–72 months,Fiber Optic,1006,165,841,0.16401590457256462
49–72 months,No Internet,437,6,431,0.013729977116704805
7–12 months,Cable,89,30,59,0.33707865168539325
7–12 months,DSL,169,37,132,0.21893491124260356
7–12 months,Fiber Optic,290,172,118,0.593103448275862
7–12 months,No Internet,168,14,154,0.08333333333333333
